index,FIPS Code,edu_percent
0,1007,4.2
1,1009,2.7
2,1021,3.0
3,1073,9.5
4,1115,3.1
5,1117,5.8
6,1127,4.0
7,4013,12.8
8,4021,7.7
9,5035,4.5
10,6001,14.6
11,6013,17.2
12,6017,10.4
13,6037,12.7
14,6041,26.6
15,6059,15.8
16,6061,10.0
17,6065,10.6
18,6067,13.1
19,6069,7.0
20,6071,9.2
21,6073,14.0
22,6075,16.7
23,6081,17.1
24,6085,19.5
25,6113,18.4
26,8001,8.6
27,8005,21.5
29,8019,13.0
30,8031,15.5
31,8035,18.7
32,8039,7.7
33,8047,9.5
34,8059,19.8
35,8093,14.7
36,9003,13.0
37,9007,12.1
38,9013,16.7
39,10003,15.1
40,11001,17.8
41,12003,3.6
42,12011,9.7
43,12019,9.8
44,12031,8.9
45,12053,6.1
46,12057,8.6
47,12069,9.1
48,12086,10.8
49,12089,4.9
50,12095,11.6
51,12097,6.7
52,12099,11.9
53,12101,4.9
54,12103,10.0
55,12109,8.5
56,12117,9.4
57,13013,5.0
58,13015,4.7
59,13035,5.5
60,13045,7.5
61,13057,4.1
62,13063,6.0
63,13067,9.7
64,13077,7.1
65,13085,2.5
66,13089,19.3
67,13097,5.1
68,13113,4.7
69,13117,2.6
70,13121,14.5
71,13135,6.3
72,13143,3.1
73,13149,3.9
74,13151,3.8
75,13159,6.4
76,13171,5.7
77,13199,6.4
78,13211,6.8
79,13217,4.6
80,13223,2.1
81,13227,3.1
82,13231,4.1
83,13247,5.3
84,13255,6.0
85,13297,4.5
86,17005,8.6
87,17013,2.4
88,17027,4.6
89,17031,10.9
90,17037,17.0
91,17043,20.1
92,17063,6.2
93,17083,5.9
94,17089,9.9
95,17093,8.9
96,17097,17.4
97,17111,10.1
98,17117,4.6
99,17119,7.1
100,17133,5.0
101,17163,6.5
102,17197,7.7
103,18011,7.1
104,18013,8.4
105,18019,5.6
106,18029,4.2
107,18043,5.6
108,18057,11.4
109,18059,6.6
110,18061,3.8
111,18063,8.3
112,18073,6.2
113,18081,8.1
114,18089,6.3
115,18095,6.7
116,18097,11.4
117,18109,5.6
118,18111,3.9
119,18115,3.8
120,18127,10.8
121,18133,8.9
122,18143,4.7
123,18145,5.6
124,18161,5.3
125,18175,3.8
126,20091,23.9
127,20103,12.3
128,20107,4.9
129,20121,6.5
130,20209,6.6
131,21015,6.7
132,21023,3.1
133,21029,3.1
134,21037,5.7
135,21077,2.2
136,21081,3.7
137,21103,4.6
138,21111,9.7
139,21117,7.1
140,21185,7.1
141,21191,3.1
142,21211,6.1
143,21215,3.9
144,21223,2.9
145,22051,11.0
146,22071,10.8
147,22075,4.7
148,22087,3.7
149,22089,5.9
150,22093,5.6
151,22095,3.9
152,22103,11.3
153,24003,12.6
154,24005,12.7
155,24009,6.8
156,24013,6.7
157,24015,6.1
158,24017,6.7
159,24021,10.0
160,24025,12.9
161,24027,20.5
162,24031,33.2
163,24033,17.1
164,24035,6.1
165,24510,7.2
166,25005,6.0
167,25009,11.3
168,25017,17.3
169,25021,17.9
170,25023,11.4
171,25025,9.8
172,26087,5.0
173,26093,7.9
174,26099,7.3
175,26125,16.4
176,26147,6.5
177,26163,7.7
178,27003,9.3
179,27019,8.4
180,27025,6.3
181,27037,14.6
182,27053,16.0
183,27059,5.7
184,27079,7.9
185,27095,5.9
186,27123,14.3
187,27139,7.0
188,27141,10.5
189,27143,4.3
190,27163,12.0
191,27171,5.9
192,28009,3.9
193,28033,5.3
194,28093,6.9
195,28137,5.9
196,28143,4.8
197,29013,4.1
198,29025,3.7
199,29037,6.8
200,29047,10.0
201,29049,7.0
202,29071,4.4
203,29095,9.5
204,29099,4.8
205,29107,7.3
206,29113,4.2
207,29165,11.8
208,29177,5.2
209,29183,7.3
210,29189,16.1
211,29219,4.4
212,29510,5.6
213,32003,10.0
214,33015,12.4
215,33017,10.6
216,34003,15.6
217,34005,12.6
218,34007,9.8
219,34013,12.2
220,34015,8.0
221,34017,5.6
222,34019,12.1
223,34023,11.2
224,34025,14.3
225,34027,19.9
226,34029,7.3
227,34031,8.4
228,34033,5.7
229,34035,19.0
230,34037,9.8
231,34039,14.0
232,36005,6.2
233,36027,14.0
234,36029,10.0
235,36047,6.6
236,36051,10.3
237,36055,14.5
238,36059,17.0
239,36061,20.7
240,36063,7.6
241,36069,10.5
242,36071,10.0
243,36073,6.9
244,36079,12.8
245,36081,10.2
246,36085,9.1
247,36087,18.4
248,36103,12.0
249,36117,7.5
250,36119,21.0
251,36123,9.5
252,37025,5.5
253,37053,2.9
254,37069,4.3
255,37071,5.7
256,37073,3.0
257,37097,5.8
258,37101,4.2
259,37109,5.0
260,37119,13.9
261,37159,6.6
262,37179,5.3
263,37183,17.1
264,39015,3.9
265,39017,8.5
266,39025,5.5
267,39035,11.1
268,39041,11.5
269,39045,6.3
270,39049,14.5
271,39055,14.5
272,39061,12.7
273,39073,5.1
274,39085,8.9
275,39089,7.4
276,39093,7.1
277,39097,4.6
278,39103,8.3
279,39117,4.0
280,39127,2.8
281,39129,5.9
282,39159,6.7
283,39165,5.9
284,40017,7.9
285,40027,20.2
286,40051,7.8
287,40081,5.9
288,40083,7.7
289,40087,4.9
290,40109,13.1
291,41005,13.8
292,41009,7.0
293,41051,12.0
294,41067,17.9
295,41071,9.7
296,42003,11.1
297,42005,4.4
298,42007,6.2
299,42017,12.1
300,42019,7.7
301,42029,17.1
302,42045,13.9
303,42051,4.6
304,42091,17.3
305,42101,6.8
306,42103,8.5
307,42125,6.3
308,42129,7.0
309,44001,15.1
310,44003,9.1
311,44005,14.0
312,44007,7.9
313,44009,14.0
314,45023,6.4
315,45057,5.4
316,45091,8.0
317,47015,2.7
318,47021,3.0
319,47037,12.1
320,47043,3.3
321,47047,4.0
322,47081,2.5
323,47111,2.4
324,47119,5.3
325,47147,4.2
326,47149,9.9
327,47157,9.9
328,47159,3.7
329,47165,6.7
330,47167,3.4
331,47169,3.0
332,47187,9.8
333,47189,5.6
334,48013,5.8
335,48015,4.1
336,48019,6.6
337,48021,4.7
338,48029,10.4
339,48039,10.0
340,48055,6.5
341,48071,6.4
342,48085,10.4
343,48091,7.2
344,48113,14.5
345,48121,16.1
346,48139,6.7
347,48157,6.3
348,48167,10.4
349,48187,7.4
350,48201,14.7
351,48209,15.6
352,48221,7.1
353,48231,12.1
354,48251,6.0
355,48257,5.0
356,48259,8.1
357,48291,5.0
358,48325,4.9
359,48339,8.4
360,48367,7.0
361,48397,8.7
362,48425,4.7
363,48439,11.8
364,48453,19.5
365,48473,13.4
366,48491,5.8
367,48493,4.6
368,48497,5.9
369,49035,15.0
370,49045,9.9
371,51007,5.5
372,51013,29.6
373,51033,4.7
374,51036,4.3
375,51041,13.5
376,51043,9.7
377,51047,6.6
378,51053,4.1
379,51059,30.3
380,51061,8.9
381,51073,6.5
382,51075,5.1
383,51085,7.6
384,51087,14.3
385,51093,3.6
386,51095,12.0
387,51101,8.3
388,51107,12.4
389,51115,6.9
390,51127,3.5
391,51145,5.9
392,51149,10.5
393,51153,12.6
394,51157,3.1
395,51177,5.4
396,51179,7.3
397,51183,6.1
398,51187,4.5
399,51199,11.4
400,51510,25.5
401,51550,5.3
402,51570,9.7
403,51600,24.5
404,51610,25.0
405,51630,18.3
406,51650,11.5
407,51670,7.8
410,51700,11.6
411,51710,9.4
412,51730,9.5
414,51740,6.2
415,51760,11.7
416,51800,6.4
417,51810,13.7
418,51830,32.3
419,53011,9.3
420,53033,17.3
421,53053,10.1
422,53059,9.0
423,53061,9.5
424,54037,10.4
425,55059,6.8
426,55079,10.3
427,55089,15.5
428,55093,8.9
429,55109,9.9
430,55131,7.9
431,55133,15.4
472,1001,6.4
473,1003,6.5
474,1015,7.5
475,1033,5.8
476,1051,5.4
477,1055,5.2
478,1061,4.5
479,1065,5.0
480,1067,4.8
481,1069,7.0
482,1077,8.3
483,1079,2.4
484,1081,16.6
485,1083,6.2
