index,FIPS_Code,unemp_percent
0,1007,6.8
1,1009,3.7
2,1021,4.8
3,1073,4.4
4,1115,4.2
5,1117,3.0
6,1127,6.1
7,4013,4.2
8,4021,5.4
9,5035,5.1
10,6001,4.8
11,6013,4.1
12,6017,4.3
13,6037,5.7
14,6041,3.5
15,6059,4.0
16,6061,4.0
17,6065,5.5
18,6067,4.6
19,6069,6.4
20,6071,5.1
21,6073,4.2
22,6075,5.1
23,6081,3.8
24,6085,5.1
25,6113,5.1
26,8001,4.0
27,8005,3.7
28,8014,3.6
29,8019,3.4
30,8031,4.4
31,8035,3.2
32,8039,3.2
33,8047,3.5
34,8059,3.5
35,8093,3.5
36,9003,3.1
37,9007,2.5
38,9013,2.2
39,10003,3.5
40,11001,6.5
41,12003,4.1
42,12011,4.5
43,12019,3.8
44,12031,4.2
45,12053,5.2
46,12057,4.1
47,12069,4.4
48,12086,4.5
49,12089,4.0
50,12095,4.2
51,12097,4.4
52,12099,5.0
53,12101,4.6
54,12103,4.3
55,12109,3.7
56,12117,4.0
57,13013,4.0
58,13015,4.4
59,13035,4.5
60,13045,4.8
61,13057,2.9
62,13063,4.1
63,13067,3.4
64,13077,3.5
65,13085,3.2
66,13089,4.1
67,13097,3.3
68,13113,2.9
69,13117,2.9
70,13121,4.2
71,13135,3.4
72,13143,4.5
73,13149,5.0
74,13151,3.1
75,13159,3.6
76,13171,4.9
77,13199,5.4
78,13211,3.4
79,13217,3.7
80,13223,3.0
81,13227,3.3
82,13231,4.0
83,13247,3.5
84,13255,4.8
85,13297,3.6
86,17005,4.9
87,17013,6.0
88,17027,4.3
89,17031,6.2
90,17037,4.4
91,17043,4.5
92,17063,6.2
93,17083,5.0
94,17089,5.2
95,17093,4.3
96,17097,4.3
97,17111,4.8
98,17117,5.2
99,17119,4.9
100,17133,3.7
101,17163,5.3
102,17197,5.1
103,18011,2.8
104,18013,4.0
105,18019,4.4
106,18029,3.9
107,18043,4.1
108,18057,2.5
109,18059,3.0
110,18061,4.2
111,18063,2.7
112,18073,4.8
113,18081,2.8
114,18089,4.9
115,18095,4.6
116,18097,3.8
117,18109,3.3
118,18111,4.3
119,18115,3.7
120,18127,3.8
121,18133,3.8
122,18143,5.0
123,18145,3.7
124,18161,4.5
125,18175,5.5
126,20091,3.8
127,20103,5.2
128,20107,6.1
129,20121,4.2
130,20209,7.5
131,21015,3.9
132,21023,4.8
133,21029,4.2
134,21037,4.4
135,21077,4.7
136,21081,5.1
137,21103,4.4
138,21111,4.7
139,21117,4.3
140,21185,3.5
141,21191,4.6
142,21211,4.3
143,21215,4.1
144,21223,5.4
145,22051,4.7
146,22071,5.7
147,22075,5.5
148,22087,5.6
149,22089,5.3
150,22093,9.0
151,22095,6.7
152,22103,4.6
153,24003,3.6
154,24005,4.3
155,24009,3.3
156,24013,3.3
157,24015,4.1
158,24017,3.3
159,24021,3.3
160,24025,3.8
161,24027,3.1
162,24031,3.2
163,24033,4.4
164,24035,3.5
165,24510,6.8
166,25005,4.8
167,25009,4.1
168,25017,3.4
169,25021,3.2
170,25023,3.6
171,25025,4.2
172,26087,6.2
173,26093,3.5
174,26099,5.0
175,26125,4.1
176,26147,6.1
177,26163,5.8
178,27003,3.5
179,27019,3.2
180,27025,4.5
181,27037,3.1
182,27053,3.5
183,27059,4.2
184,27079,5.0
185,27095,5.4
186,27123,3.5
187,27139,3.3
188,27141,3.8
189,27143,3.9
190,27163,3.0
191,27171,3.8
192,28009,6.8
193,28033,2.8
194,28093,6.3
195,28137,4.3
196,28143,5.9
197,29013,4.7
198,29025,4.4
199,29037,3.7
200,29047,3.3
201,29049,3.8
202,29071,4.8
203,29095,4.8
204,29099,4.4
205,29107,4.1
206,29113,4.5
207,29165,3.1
208,29177,4.1
209,29183,3.5
210,29189,4.0
211,29219,4.7
212,29510,6.7
213,32003,5.4
214,33015,3.9
215,33017,3.2
216,34003,3.7
217,34005,3.5
218,34007,4.3
219,34013,5.3
220,34015,3.9
221,34017,5.5
222,34019,2.8
223,34023,4.0
224,34025,3.7
225,34027,3.2
226,34029,4.1
227,34031,5.4
228,34033,4.4
229,34035,3.2
230,34037,3.6
231,34039,4.6
232,36005,7.4
233,36027,3.4
234,36029,4.7
235,36047,6.6
236,36051,4.4
237,36055,4.1
238,36059,3.7
239,36061,5.8
240,36063,5.5
241,36069,4.0
242,36071,3.7
243,36073,5.1
244,36079,3.2
245,36081,5.4
246,36085,5.2
247,36087,3.5
248,36103,3.8
249,36117,4.6
250,36119,3.8
251,36123,3.8
252,37025,4.9
253,37053,3.0
254,37069,5.0
255,37071,7.6
256,37073,4.4
257,37097,5.8
258,37101,4.3
259,37109,6.7
260,37119,4.4
261,37159,6.6
262,37179,4.1
263,37183,4.0
264,39015,6.0
265,39017,4.1
266,39025,4.1
267,39035,3.6
268,39041,2.9
269,39045,3.6
270,39049,3.5
271,39055,2.8
272,39061,4.1
273,39073,5.7
274,39085,3.3
275,39089,4.0
276,39093,4.0
277,39097,3.8
278,39103,3.0
279,39117,5.1
280,39127,5.8
281,39129,4.5
282,39159,3.2
283,39165,3.7
284,40017,3.1
285,40027,3.1
286,40051,3.2
287,40081,3.8
288,40083,2.8
289,40087,3.6
290,40109,3.8
291,41005,5.2
292,41009,7.7
293,41051,6.2
294,41067,5.4
295,41071,6.1
296,42003,4.4
297,42005,6.5
298,42007,5.0
299,42017,4.0
300,42019,4.6
301,42029,3.4
302,42045,4.2
303,42051,6.2
304,42091,3.7
305,42101,6.1
306,42103,4.8
307,42125,5.1
308,42129,5.1
309,44001,3.6
310,44003,4.1
311,44005,3.8
312,44007,5.0
313,44009,3.5
314,45023,7.8
315,45057,5.5
316,45091,4.9
317,47015,4.0
318,47021,3.3
319,47037,3.5
320,47043,4.3
321,47047,5.3
322,47081,5.0
323,47111,5.5
324,47119,4.0
325,47147,4.2
326,47149,3.6
327,47157,4.3
328,47159,4.8
329,47165,4.4
330,47167,4.5
331,47169,5.5
332,47187,2.8
333,47189,3.6
334,48013,4.6
335,48015,4.0
336,48019,4.0
337,48021,4.6
338,48029,4.6
339,48039,5.0
340,48055,5.0
341,48071,4.5
342,48085,4.1
343,48091,4.3
344,48113,5.3
345,48121,3.5
346,48139,4.4
