Zipcode,EstimatedPopulation,TotalWages,Result
501,768.0,4294146.0,5591.3359375
1001,14021.0,337735143.0,24087.807075101635
1002,66128.0,1660324972.0,25107.74516090007
1004,742.0,17272423.0,23278.19811320755
1005,3935.0,93221235.0,23690.275730622616
1007,12895.0,342529324.0,26562.956494765414
1008,1153.0,27475763.0,23829.80312228968
1009,1055.0,21809651.0,20672.654976303318
1010,6624.0,176542038.0,26651.877717391304
1011,1012.0,21936991.0,21676.8685770751
1012,639.0,13500566.0,21127.646322378718
1013,33338.0,616495448.0,18492.274521566982
1020,24570.0,513706179.0,20907.86239316239
1021,509.0,9048762.0,17777.52848722986
1022,3426.0,76028834.0,22191.720373613545
1026,1730.0,30782116.0,17793.13063583815
1027,77625.0,1842601105.0,23737.21230273752
1028,28048.0,817345728.0,29140.96292070736
1029,1527.0,34028127.0,22284.30058939096
1030,10449.0,270491031.0,25886.786391042206
1031,1864.0,35321462.0,18949.2821888412
1032,978.0,18558060.0,18975.521472392636
1033,5647.0,139182791.0,24647.20931468036
1034,7148.0,182359104.0,25511.905987688864
1035,8654.0,194269456.0,22448.515830829674
1036,9400.0,258969812.0,27549.98
1037,714.0,17327614.0,24268.36694677871
1038,4322.0,107345484.0,24836.993058769087
1039,2456.0,62477144.0,25438.57654723127
1040,52632.0,970250622.0,18434.61434108527
1041,1994.0,29300430.0,14694.297893681043
1050,15974.0,363668690.0,22766.28834355828
1053,1407.0,34015029.0,24175.571428571428
1054,4860.0,123762204.0,25465.474074074074
1056,17529.0,404031435.0,23049.314564436077
1057,7429.0,180005082.0,24230.055458338942
1060,20608.0,524328514.0,25442.95972437888
1061,846.0,20460696.0,24185.21985815603
1062,47415.0,1188225935.0,25060.1272803965
1068,1807.0,47454439.0,26261.449363586053
1069,6950.0,160619305.0,23110.691366906474
1070,467.0,7972234.0,17071.16488222698
1071,1376.0,33141462.0,24085.364825581397
1072,1269.0,27771397.0,21884.473601260834
1073,5385.0,147755801.0,27438.403156917364
1074,525.0,9853674.0,18768.902857142857
1075,56736.0,1402719620.0,24723.625564015794
1077,8567.0,237666692.0,27742.11415898214
1079,766.0,14912149.0,19467.557441253262
1080,1888.0,35086899.0,18584.162605932204
1081,1491.0,33870007.0,22716.302481556002
1082,17018.0,364199122.0,21400.818074979434
1083,2519.0,51554337.0,20466.19174275506
1085,64688.0,1570496844.0,24278.02442493198
1086,664.0,12889710.0,19412.213855421687
1088,916.0,22101348.0,24128.109170305677
1089,69129.0,1565087463.0,22640.099856789482
1090,808.0,16685014.0,20649.769801980197
1092,2126.0,43412130.0,20419.628410159923
1093,476.0,12920746.0,27144.4243697479
1095,13107.0,421777249.0,32179.541390096896
1096,6798.0,156292437.0,22990.943954104147
1098,1076.0,22998526.0,21374.094795539033
1101,3062.0,50165932.0,16383.387328543437
1103,3066.0,55218238.0,18009.862361382908
1104,31590.0,514863890.0,16298.318771763215
1105,12108.0,135877172.0,11222.098777667657
1106,42996.0,1769754723.0,41160.91550376779
