index,art_1,art_2,art_3,art_4,art_5,art_6,art_7,art_8,art_9,art_10
"Alaux, Jean",4538,4539,4540,4541,4542,4543,4544,4545,4546,4547
"Balke, Peder",5935,5936,5937,5938,5939,5940,5941,5942,5943,5944
"Berchem, Nicolaes Pietersz.",6079,6080,6081,6082,6083,6084,6085,6086,6087,6088
"Bernaerts, Nicasius",6107,6108,6109,6111,6112,6113,6114,6115,6116,6117
"Biennourry, Victor François Eloi",6181,6182,6183,6184,6185,6186,6187,6188,6189,6190
"Blin de Fontenay, Jean-Baptiste",6209,6210,6211,6212,6213,6214,6215,6216,6217,6218
"Blondel, Merry-Joseph",6226,6227,6228,6229,6230,6231,6232,6233,6234,6235
"Boel, Pieter",6239,6240,6241,6242,6243,6244,6245,6246,6247,6248
"Bondoux, Jules-Georges",6280,6281,6282,6283,6284,6285,6286,6287,6288,6289
"Boucher, François",5119,5120,5121,5122,5123,5124,5125,5126,5127,5128
"Boullogne, Louis II de, dit Le Jeune",5168,5169,5170,5171,5172,5173,5174,5175,5176,5177
"Champaigne, Philippe de",5354,5355,5356,5357,5358,5359,5360,5361,5362,5363
"Chardin, Jean Baptiste Siméon",5377,5378,5379,5380,5381,5382,5383,5384,5385,5386
"Chassériau, Théodore",5409,5410,5411,5412,5413,5414,5415,5416,5417,5418
"Clouet, François",5477,5478,5479,5480,5481,5482,5483,5484,5485,5486
"Cornu, Sébastien",5538,5539,5540,5541,5542,5543,5544,5545,5546,5547
"Corot, Jean-Baptiste Camille",5552,5553,5554,5555,5556,5557,5558,5559,5560,5561
"Coypel, Antoine",3860,3861,3862,3863,3864,3865,3866,3867,3868,3869
"Coypel, Charles-Antoine",3872,3873,3874,3875,3876,3877,3878,3879,3880,3881
"Damoiselet, Florentin",3952,3953,3954,3955,3956,3957,3958,3959,3960,3961
"Daubigny, Charles-François",3979,3980,3981,3982,3983,3984,3985,3986,3987,3988
"David, Jacques-Louis",4006,4007,4008,4009,4010,4011,4012,4013,4014,4015
"Decamps, Alexandre-Gabriel",4041,4042,4043,4044,4045,4046,4047,4048,4049,4050
