,art_1,art_2,art_3,art_4,art_5,art_6,art_7,art_8,art_9,art_10
Amedeo Modigliani,116,133,844,845,1473,1498,2786,2787,3696,3715
André Derain,145,162,169,816,825,834,835,841,842,854
Auguste Renoir,1502,1720,1832,2293,2505,2530,2531,2588,2688,2790
Barnett Newman,1336,1337,1338,1339,1340,1341,1342,1343,1344,1345
Bernardino Luini,1932,1998,2000,2167,2177,2178,2179,2180,2181,2182
Berthe Morisot,1637,2427,2625,2640,3216,3546,3721,3741,3742,3743
Camille Pissarro,150,151,1500,1512,1680,1716,1717,1866,2631,2775
Claude Monet,134,148,165,166,173,1499,1710,2608,2623,3213
Eastman Johnson,696,1670,1671,1687,1814,1826,1833,1854,2609,3341
Edgar Degas,1518,1520,1532,1544,2096,2117,2587,2592,2777,2808
Edouard Manet,71,132,1522,1657,1708,1709,2426,2664,2667,3286
Edouard Vuillard,153,888,961,1142,1523,1524,1525,1554,2770,2792
Erastus Salisbury Field,770,771,775,899,901,902,986,3274,3275,3343
Eugène Boudin,144,168,1813,1831,2650,2766,2767,2768,3205,3206
George Bellows,325,1107,1650,2205,2206,2648,2649,3364,3420,3422
George Catlin,909,910,911,912,913,914,915,916,917,918
Georges Seurat,152,1689,1706,1714,1721,1722,1723,1724,1725,1726
Georgia O'Keeffe,21,208,257,450,1356,1357,1358,1359,1360,1361
Gilbert Stuart,62,643,1610,1800,1817,1863,2062,2063,2064,2065
Giovanni Battista Tiepolo,53,89,104,720,774,1543,1988,2173,2418,2729
Henri Fantin-Latour,14,125,1510,1521,2778,2779,2780,3573,3579,3591
Henri Matisse,131,146,158,172,838,840,866,867,868,1008
Henri de Toulouse-Lautrec,1506,1513,2642,2643,2647,2758,2814,3235,3236,3296
Jacob Eichholtz,670,673,675,690,727,728,729,730,762,815
Jean Dubuffet,186,209,210,211,212,213,214,215,216,217
Jean Honoré Fragonard,1535,2219,2220,2221,2235,2236,2672,2706,2707,3247
Jean-Baptiste-Camille Corot,65,714,1774,1781,1867,1869,2109,2110,2201,2322
Jean-Louis Forain,662,663,664,837,1077,1702,2156,3369,3462,3470
John Frederick Peto,9,10,278,1551,1569,1570,1712,1713,1715,3760
John Marin,362,1308,1309,1310,1311,1312,1313,1314,1315,1316
John Singer Sargent,4,113,1615,1758,1759,2150,2290,2321,2360,2663
John Singleton Copley,61,136,639,1063,1742,2080,2252,2641,2665,2692
Joseph Mallord William Turner,1761,2320,2674,2686,3261,3629,3630,3655,3659,3660
Mark Rothko,174,175,176,177,178,179,528,1131,1132,1133
Mary Cassatt,121,122,163,1732,2769,2794,3555,3705,3706,3707
Pablo Picasso,438,795,805,869,870,871,872,873,874,875
Paul Cézanne,1653,2607,2611,2638,2795,2796,2797,2798,2799,2800
Paul Gauguin,1,127,164,2781,3313,3326,3436,3471,3675,3710
Pierre Bonnard,12,142,220,221,317,342,343,344,345,346
Raoul Dufy,7,13,170,171,409,836,851,860,951,952
Rembrandt van Rijn,44,45,1495,1806,2138,2139,2141,3623,3624,3625
Robert Mangold,270,318,370,1413,1414,1415,1416,1417,1418,1419
Sir Anthony van Dyck,34,35,82,83,84,85,86,1493,2068,2146
Thomas Chambers,1064,1083,2539,2575,3174,3194,3197,3310,3311,3382
Thomas Cole,17,18,1555,1851,3180,3501,3539,3726,3727,3746
Thomas Eakins,779,780,1047,1387,1740,2232,3467,3469,3513,3680
Thomas Gainsborough,51,654,1744,1745,1950,1951,1956,1959,2118,2119
Thomas Sully,645,647,648,659,669,678,709,1784,2090,2101
Vincent van Gogh,128,2783,2784,3562,3588,3592,3713,3723,3732,3773
Winslow Homer,1505,1703,1704,1748,1769,2250,2310,2818,3472,3473
