index,school_id,campus,ethcat,app,adm,Result,year
0,4019,San Diego,Asian,12,11,0.916666667,2014
1,6750,Santa Cruz,Asian,11,11,1,2010
2,6750,Santa Cruz,White,15,15,1,1997
3,20000,San Diego,White,5,4,0.8,1997
4,20003,Berkeley,White,5,3,0.6,1999
5,20004,Santa Barbara,White,10,7,0.7,2002
6,20365,Los Angeles,White,5,3,0.6,1994
7,20365,San Diego,White,7,3,0.428571429,2009
8,30029,San Diego,White,5,3,0.6,2016
9,30037,Irvine,Asian,5,4,0.8,2010
10,30037,Los Angeles,Asian,5,3,0.6,1999
11,30037,Los Angeles,White,5,4,0.8,2005
12,30037,San Diego,Asian,5,5,1,1999
13,30043,Los Angeles,White,9,5,0.555555556,1999
14,30043,San Diego,White,13,7,0.538461538,2016
15,30043,Santa Barbara,White,9,7,0.777777778,1998
16,30045,Berkeley,Asian,18,10,0.555555556,1994
17,30045,Berkeley,White,7,5,0.714285714,2013
18,30045,Los Angeles,Asian,28,11,0.392857143,2010
19,30045,San Diego,Asian,16,11,0.6875,2002
20,30062,Berkeley,Asian,113,43,0.380530973,2004
21,30062,Davis,Asian,9,5,0.555555556,1996
22,30062,Irvine,Asian,29,22,0.75862069,2006
23,30062,Los Angeles,Asian,108,37,0.342592593,2016
24,30062,San Diego,Asian,82,60,0.731707317,2014
25,30062,San Diego,White,7,4,0.571428571,2008
26,30072,San Diego,Asian,6,5,0.833333333,2004
27,30124,San Diego,White,5,3,0.6,1997
28,30140,Los Angeles,Asian,5,3,0.6,1996
29,30140,Los Angeles,White,6,3,0.5,2009
30,30141,Los Angeles,Asian,5,3,0.6,1996
31,30141,San Diego,Asian,5,3,0.6,1994
32,30153,Berkeley,Asian,7,3,0.428571429,2011
33,30153,Los Angeles,Asian,14,6,0.428571429,2007
34,30153,San Diego,White,14,11,0.785714286,1999
35,30157,Berkeley,Asian,5,3,0.6,1998
36,30216,Los Angeles,Asian,5,4,0.8,2012
37,30221,San Diego,White,5,3,0.6,2001
38,30224,Berkeley,White,5,4,0.8,2003
39,30235,San Diego,Hispanic/ Latino,6,3,0.5,1997
40,30259,San Diego,Asian,5,4,0.8,1995
41,30265,Berkeley,Asian,14,9,0.642857143,2015
42,30265,Berkeley,White,30,9,0.3,2003
43,30265,Los Angeles,Asian,5,5,1,2007
44,30265,Los Angeles,White,61,23,0.37704918,1999
45,30265,San Diego,Asian,7,4,0.571428571,2007
46,30265,San Diego,White,80,44,0.55,2013
47,30265,Santa Barbara,White,66,42,0.636363636,1995
48,30288,Los Angeles,Asian,7,4,0.571428571,1994
49,30288,Los Angeles,White,7,3,0.428571429,2006
50,30288,San Diego,White,5,3,0.6,2003
51,30288,Santa Barbara,White,6,3,0.5,2015
52,30295,Berkeley,Asian,17,9,0.529411765,1995
53,30295,Berkeley,White,48,17,0.354166667,1998
54,30295,Los Angeles,Asian,12,8,0.666666667,2000
55,30295,Los Angeles,Hispanic/ Latino,8,3,0.375,2004
56,30295,Los Angeles,White,140,57,0.407142857,1999
57,30295,San Diego,Asian,10,9,0.9,2016
58,30295,San Diego,White,106,65,0.613207547,2012
59,30295,Santa Barbara,White,147,92,0.62585034,2011
60,30295,Santa Cruz,White,5,4,0.8,2005
61,30303,Los Angeles,White,7,4,0.571428571,2003
62,30303,Santa Barbara,White,20,10,0.5,2002
63,30307,Berkeley,Asian,6,3,0.5,1994
64,30307,Los Angeles,White,14,8,0.571428571,2012
65,30307,San Diego,White,22,15,0.681818182,1996
66,30307,Santa Barbara,White,8,5,0.625,2008
67,30316,Los Angeles,Asian,5,3,0.6,1995
68,30316,Los Angeles,White,6,3,0.5,1999
