index,title,startYear,endYear,material,url,image,artist,description,museum,art_id_1,art_id_2,art_id_3,art_id_4,art_id_5,art_id_6,art_id_7,art_id_8,art_id_9,art_id_10
0,The Resurrection of Christ,1600.0,1700.0,,https://clevelandart.org/art/2017.192,https://openaccess-cdn.clevelandart.org/2017.192/2017.192_web.jpg,Johann König,according to christian belief  three days after his death by crucifixion  christ rose from the dead and ascended into heaven  könig’s interpretation of this traditional theme employs vivid colors and explosive poses to express the drama of the event  meticulous brushwork delineates exquisite details  and draws attention to the luminous landscape and the three holy women hastening towards christ’s vacant tomb ,cleveland museum of art,129,585,583,653,662,63,120,1828,1805,57
1,Tenjin Traveling to China,1610.0,1610.0,,https://clevelandart.org/art/2015.456,https://openaccess-cdn.clevelandart.org/2015.456/2015.456_web.jpg,Konoe Nobutada,,cleveland museum of art,3497,1553,1554,1555,2439,3487,3480,2054,2430,23
2,Sparrows and Bamboo,1525.0,1599.0,,https://clevelandart.org/art/2015.457,https://openaccess-cdn.clevelandart.org/2015.457/2015.457_web.jpg,Shiken Saidō,,cleveland museum of art,2360,1883,2445,1529,2861,1544,2489,633,2877,1982
3,Mountain and River in Storm,1600.0,1674.0,,https://clevelandart.org/art/2015.459,https://openaccess-cdn.clevelandart.org/2015.459/2015.459_web.jpg,Hirowatari Setsuzan,,cleveland museum of art,2806,3173,1694,650,788,2234,570,2083,1624,1625
4,Landscape,1475.0,1525.0,,https://clevelandart.org/art/2015.460,https://openaccess-cdn.clevelandart.org/2015.460/2015.460_web.jpg,Kenkō Shōkei,,cleveland museum of art,180,2788,2506,3106,2507,2502,2505,79,80,81
5,Landscape,1500.0,1573.0,,https://clevelandart.org/art/2015.461,https://openaccess-cdn.clevelandart.org/2015.461/2015.461_web.jpg,Judō,,cleveland museum of art,8,14,15,16,34,35,42,59,184,1522
6,Reeds and Geese,1314.0,1317.0,,https://clevelandart.org/art/2015.464,https://openaccess-cdn.clevelandart.org/2015.464/2015.464_web.jpg,Yishan Yining [Issan Ichinei],,cleveland museum of art,2782,2413,73,2784,2785,2786,658,61,173,2899
7,Chinese Literatus in an Autumn Landscape,1475.0,1499.0,,https://clevelandart.org/art/2015.467,https://openaccess-cdn.clevelandart.org/2015.467/2015.467_web.jpg,Josui Sōen,,cleveland museum of art,2070,2705,2807,2021,1535,1739,1534,2226,12,2857
8,Landscape,1500.0,1599.0,,https://clevelandart.org/art/2015.470,https://openaccess-cdn.clevelandart.org/2015.470/2015.470_web.jpg,Narihide,,cleveland museum of art,8,14,15,16,34,35,42,59,184,1522
9,Grapevine,1700.0,1899.0,,https://clevelandart.org/art/2015.476,https://openaccess-cdn.clevelandart.org/2015.476/2015.476_web.jpg,,,cleveland museum of art,1,2,3,4,5,6,7,8,9,10
10,Monkeys Reaching for the Moon,1602.0,1674.0,,https://clevelandart.org/art/2015.478,https://openaccess-cdn.clevelandart.org/2015.478/2015.478_web.jpg,Kano Tan’yū,,cleveland museum of art,2221,2220,2735,2731,2916,2732,2472,2222,2734,2723
11,Su Dongpo Riding a Donkey,1575.0,1630.0,,https://clevelandart.org/art/2015.479,https://openaccess-cdn.clevelandart.org/2015.479/2015.479_web.jpg,Reietsu,,cleveland museum of art,2713,581,3219,2497,2003,2501,3423,2046,1871,3120
12,Chinese Literatus Traveling to a Mountain Temple,1575.0,1599.0,,https://clevelandart.org/art/2015.480,https://openaccess-cdn.clevelandart.org/2015.480/2015.480_web.jpg,Kano Hidemasa,,cleveland museum of art,2070,2134,7,2021,702,2705,29,1535,2815,2735
13,Summer and Winter Landscapes,1607.0,1650.0,,https://clevelandart.org/art/2015.481,https://openaccess-cdn.clevelandart.org/2015.481/2015.481_web.jpg,Kano Naonobu,,cleveland museum of art,30,31,2616,2615,2333,25,2617,28,2614,2525
14,Landscape,1590.0,1615.0,,https://clevelandart.org/art/2015.483,https://openaccess-cdn.clevelandart.org/2015.483/2015.483_web.jpg,,,cleveland museum of art,8,14,15,16,34,35,42,59,184,1522
15,Landscape,1550.0,1599.0,,https://openaccess-cdn.clevelandart.org/2015.484/2015.484_web.jpg,https://openaccess-cdn.clevelandart.org/2015.484/2015.484_print.jpg,,,cleveland museum of art,8,14,15,16,34,35,42,59,184,1522
16,Landscape,1615.0,1868.0,,https://openaccess-cdn.clevelandart.org/2015.490/2015.490_web.jpg,https://openaccess-cdn.clevelandart.org/2015.490/2015.490_print.jpg,,,cleveland museum of art,8,14,15,16,34,35,42,59,184,1522
17,Portrait of Sugawara Michizane,1475.0,1525.0,,https://clevelandart.org/art/2015.491,https://openaccess-cdn.clevelandart.org/2015.491/2015.491_web.jpg,Yōgetsu,,cleveland museum of art,154,503,1594,2479,2858,2862,3244,1591,1647,1992
18,Bamboo and Plum,1504.0,1589.0,,https://clevelandart.org/art/2015.503,https://openaccess-cdn.clevelandart.org/2015.503/2015.503_web.jpg,Sesson Shūkei,,cleveland museum of art,1983,1982,2,633,2438,1849,1850,1851,643,1984
19,Landscape with Fishermen,1600.0,1699.0,,https://clevelandart.org/art/2015.516,https://openaccess-cdn.clevelandart.org/2015.516/2015.516_web.jpg,Yi Bul-hae,,cleveland museum of art,2018,2019,2020,3301,4,38,2788,3106,687,3523
20,Ebisu,1800.0,1899.0,,https://clevelandart.org/art/2016.307,https://openaccess-cdn.clevelandart.org/2016.307/2016.307_web.jpg,,,cleveland museum of art,1,2,3,4,5,6,7,8,9,10
21,Tartars Hunting in a Mountain Landscape,1615.0,1650.0,,https://openaccess-cdn.clevelandart.org/2015.504/2015.504_web.jpg,https://openaccess-cdn.clevelandart.org/2015.504/2015.504_print.jpg,,,cleveland museum of art,2873,2874,2875,2497,2126,2507,430,180,766,79
22,Egret and Reeds,1875.0,1898.0,,https://clevelandart.org/art/2015.509,https://openaccess-cdn.clevelandart.org/2015.509/2015.509_web.jpg,Yang Ki-hun,,cleveland museum of art,2863,2864,2865,2866,2867,2868,2869,1682,2857,2531
23,Grapevine,1800.0,1850.0,,https://clevelandart.org/art/2015.510,https://openaccess-cdn.clevelandart.org/2015.510/2015.510_web.jpg,Choe Seok-hwan,july is the season of the ripening deep blue grapes  and also the month when the monsoon season begins in korea  to the accompaniment of stormy summer wind  grape vines make a spectacular full circle across the surface of this eight panel folding screen  the artist employed a variety of ink tones to create a sense of swift movement of grapevines amid turbulent storms   br  br since their first introduction to the korean peninsula around the 7th century through the silk road  grapes were used as artistic motifs  artists embellished the surface of mother of pearl lacquer boxes or blue and white porcelain  while scholar poets composed poems about the luscious sweet sourness of green grapes  by the late 19th century  grapes became the icon of fertility  the fruit grows in large clusters of many individual grapes  evoking the image of a stable clan with many descendants ,cleveland museum of art,2519,2892,2703,1553,1554,1555,38,1811,2572,2439
24,Chinese Servant Walking in the Rain,1500.0,1599.0,,https://clevelandart.org/art/2015.512,https://openaccess-cdn.clevelandart.org/2015.512/2015.512_web.jpg,Gakuō Zōkyū,,cleveland museum of art,779,1928,78,666,112,777,2046,1814,1518,2044
25,Landscape,1525.0,1559.0,,https://clevelandart.org/art/2015.518,https://openaccess-cdn.clevelandart.org/2015.518/2015.518_web.jpg,Kano Motonobu,,cleveland museum of art,2614,2617,2616,2615,13,28,1740,1741,1742,1743
26,Landscape,1600.0,1630.0,,https://clevelandart.org/art/2015.590,https://openaccess-cdn.clevelandart.org/2015.590/2015.590_web.jpg,Sesshū Tōyō,,cleveland museum of art,27,794,826,700,1740,1741,1742,1743,1744,25
27,Landscape,1600.0,1630.0,,https://clevelandart.org/art/2015.589,https://openaccess-cdn.clevelandart.org/2015.589/2015.589_web.jpg,Sesshū Tōyō,,cleveland museum of art,27,794,826,700,1740,1741,1742,1743,1744,25
28,Farming and Herding Buffalo in Summer,1525.0,1599.0,,https://clevelandart.org/art/2015.594,https://openaccess-cdn.clevelandart.org/2015.594/2015.594_web.jpg,Kano Hideyori,,cleveland museum of art,2615,25,2617,2616,2614,13,30,31,1610,2688
29,Chinese Literatus Viewing a Valley,1550.0,1675.0,,https://clevelandart.org/art/2015.593,https://openaccess-cdn.clevelandart.org/2015.593/2015.593_web.jpg,,,cleveland museum of art,2219,2438,3497,1584,779,2054,2793,1886,2234,2392
30,Summer and Winter Landscapes (one of a pair),1607.0,1650.0,,https://clevelandart.org/art/2015.481.1,https://openaccess-cdn.clevelandart.org/2015.481.1/2015.481.1_web.jpg,Kano Naonobu,,cleveland museum of art,31,13,2616,2615,2333,25,28,2617,2525,3109
