index,original_title,artist,startYear,endYear,image,url,museum,title,place,material,description,art_id_1,art_id_2,art_id_3,art_id_4,art_id_5,art_id_6,art_id_7,art_id_8,art_id_9,art_id_10
0,Le Prophète David,Italie ; Pérugin (dit Il Perugino),1500.0,1600.0,https://collections.louvre.fr/media/cache/large/0000000021/0000058728/0000970164_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010058728,louvre museum,Prophet David,Italy,drink,format tondo,74,934,4272,4269,1098,3198,5310,1103,4271,3331
1,Triptyque de saint Laurent,"Italie ; Lorenzo Monaco (Piero di Giovanni, dit Lorenzo degli Angeli)",1407.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000053650/0000751292_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053650,louvre museum,Triptych of Saint Lawrence,Italy,bottom  gold on drink  poplar ,sign central holy lawrence to above the christ blessing sign left holy ansano to above i angel of i annunciation sign straight holy daisy to above the virgin of i annunciation registration in low to center michael said lore not co van not i ringi faeces fare questa mccc cviii has left s without marty has right s margherita v,468,110,62,487,524,1135,594,3829,108,2624
2,La Vierge en gloire avec les apôtres,Italie ; Mariotto di Nardo,1400.0,1500.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053729/0000750872_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053729,louvre museum,The Virgin in Glory with the Apostles,Italy,drink  poplar ,nature of brand stamp of wax,3336,3337,5000,6197,850,3258,1600,100,6051,65
3,Saint Pierre,"Italie ; Vivarini, Antonio",1450.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000053906/0000751067_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053906,louvre museum,Saint Pierre,Italy,drink,registration if opportunity me dying tecum nope you negabo matt on the book,3822,67,5978,2260,3844,4746,1136,3199,5926,484
4,La Vierge d'humilité,"Italie ; Nelli, Ottaviano",1430.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000054071/0000751316_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010054071,louvre museum,The Virgin of Humility,Italy,bottom  gold on drink  poplar ,to above the crucifixion registration vs to setback on the high of sign to felt black mid to setback on the sign to stencil black to center and to stencil white in high ministry of the home of i emperor museums imperials to setback on label glued in low of sign,15,3845,3800,6124,5082,5746,3803,5099,4823,6168
5,Vue de Malte prise du fort Saint-Elme,"Italie ; Pullicino, Alberto",1700.0,1800.0,https://collections.louvre.fr/media/cache/original/0000000021/0000056573/0000041151_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010056573,louvre museum,View of Malta from Fort St. Elmo,Italy,cloth,registration to setback on the cloth in white,3813,3839,3814,5249,2220,2221,2915,5442,906,325
6,Sainte Famille,Italie ; Girolamo del Pacchia,1500.0,1600.0,https://collections.louvre.fr/media/cache/original/0000000021/0000052671/0001028931_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010052671,louvre museum,Holy family,Italy,drink,format tondo registration registrations to setback of board writing and surrounded to pencil white g writing to middle to pencil blue writing to pencil blue dark,5749,2722,994,6333,196,1724,618,2343,826,4673
7,Le Calvaire avec saint Jérôme pénitent,"Italie ; Palmezzano, Marco",1505.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000053763/0000047977_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053763,louvre museum,Calvary with Penitent Saint Jerome,Italy,drink  poplar ,has i back plan meet of holy paul hermit and of holy anthony holy augustine and i child to the spoon holy jeans baptist from pilgrims riders and the merchants of the legend of holy jerome registration on a cartel in deceived i eye to low of the cross march palmezzanus pictor forolivianis facebat cccc iiii registration dedicatory erased to above signature board sign,3828,3826,3825,24,2620,3829,2333,12,555,473
8,La Vierge et l'Enfant,Italie ; Taddeo di Bartolo,1393.0,1405.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053842/0000751284_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053842,louvre museum,The Virgin and Child,Italy,bottom  gold on drink  poplar ,sign central cut to the part lower  a polyptych whose ke holy pierre m i constituted the sign of left,82,5990,490,483,5976,2033,1821,849,31,71
9,Portrait de Pietro Mocenigo,"Italie ; Tintoret (Robusti, Jacopo, dit Tintoretto)",1500.0,1600.0,https://collections.louvre.fr/media/cache/original/0000000021/0000053877/0000042171_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053877,louvre museum,Portrait of Pietro Mocenigo,Italy,cloth,registration to setback to stencil red mid to setback a label collection the case to setback a label the mans to setback a label louvre tintoretto school of pietro mocenigo mid to setback a label tintoretto pietro mocenigo on the face petrus moceniq senato,75,23,10,3837,60,3840,6054,103,5288,3801
10,Le Christ tenant la boule du monde,"Italie ; Paolo Caliari, dit Veronese ; Paolo Caliari, dit Veronese",1500.0,1600.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053899/0000046229_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053899,louvre museum,Christ holding the ball of the world,Italy,cloth glued on drink,registration to setback of frame to stencil in red mid brand napoleon not to setback of sign to stencil in black to stencil in red mid to the painting black chambray to setback on the sign a label collection louis the case manuscript in red i to felt py,93,3845,3801,5923,15,309,75,5291,2768,3800
11,"Le Couronnement de la Vierge avec six saints (Pierre martyr, Jean-Baptiste, Jérome, Madeleine, François et Thomas d'Acquin)","Italie ; Ghirlandaio, Ridolfo",1504.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000053581/0000047860_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053581,louvre museum,"The Coronation of the Virgin with six saints (Pierre martyr, Jean-Baptiste, Jérome, Madeleine, François and Thomas d'Acquin)",Italy,drink  poplar ,registration date to center mdiiii,4746,55,3807,1,3394,88,1215,4817,2627,2624
12,La Vierge et l'Enfant avec des anges et des saints,Italie ; Maître du Couronnement de Christ Church,1350.0,1380.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053663/0000750863_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053663,louvre museum,The Virgin and Child with Angels and Saints,Italy,bottom  gold on drink  poplar ,to first plan holy jeans baptist and holy barthelemy then holy catherine holy james holy pierre holy paul holy anthony holy lucy saints evangelists and martyrs,3827,3826,3825,1362,1361,24,3828,2620,7,2333
13,La Sainte Famille adorant l'Enfant,"Italie ; Lorenzo di Credi (Lorenzo d'Andrea d'Uderigo di Credi, dit) ; Maître de la Madone Czartoryski ; ""Tommaso""",1400.0,1500.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053673/0000751023_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053673,louvre museum,The Holy Family adoring the Child,Italy,drink,registration to setback on the sign to stencil black mid to setback on the sign a label mid master of the madonna czartoryski holy family adoring i child to setback on the sign a label museum imperial,3808,54,3806,109,37,3854,103,104,71,56
14,La Vierge de Majesté avec dix anges et douze saints,Italie ; Maître de la Prédelle de l'Ashmolean museum,1300.0,1400.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053683/0000751031_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053683,louvre museum,The Virgin of Majesty with ten angels and twelve saints,Italy,bottom  gold on drink  poplar ,to above crucifixion with the virgin and holy jeans,524,557,5078,5766,5115,1215,6157,5460,2033,3018
15,L'Ascension,"Italie ; Verla, Francesco",1510.0,,https://collections.louvre.fr/media/cache/large/0000000021/0000053706/0000751033_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053706,louvre museum,The Ascension,Italy,drink  poplar ,band of three panels of predella see also m i m i registration to setback on the sign to stencil black mid to setback on the sign a label ministry of the home of i emperor museums imperial to setback on the sign a registration handwritten black,3845,3803,4,3800,6124,5099,5082,5746,3843,6168
16,Sainte Philippe Benizzi,"Italie ; Marchesi, Girolamo",1500.0,1600.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053910/0000751097_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053910,louvre museum,Saint Philip Benizzi,Italy,drink  spruce ,registration to setback on the bottom of assembly in plywood black to stencil white inv nature of brand stamp of wax,3804,5991,1380,3848,3800,5999,6057,5081,103,4992
17,La Charité Romaine,"Italie ; Reni, Guido",1600.0,1700.0,https://collections.louvre.fr/media/cache/large/0000000021/0000052758/0000924985_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010052758,louvre museum,Roman Charity,Italy,cloth,registration to setback to the chalk white to setback on the cloth in black to setback on the frame on the cartel before on the part low of frame number depositary label white with this same number on the slice of frame,5344,2986,2722,93,5492,3948,5124,2893,5969,2733
18,Le Christ au tombeau,"Italie ; Sagrestani, Giovanni Camillo",1675.0,1725.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053557/0000783675_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053557,louvre museum,Christ in the tomb,Italy,cloth,registration baldassare franceschini there volterra detto there volterrano to setback to i ink black mss collection the case on label to setback label on the layer pictorial setback not accessible,81,57,5205,4823,32,5097,2568,3803,93,4931
19,Jeune fileuse,"Italie ; Piazzetta, Giambattista",1700.0,1800.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053790/0000730552_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053790,louvre museum,young spinner,Italy,cloth,registration to setback to middle of the cloth to setback in high to right to setback on the cloth museum of the city of paul to setback on the frame a label to setback on the frame a label transcribed partially photography giraudon lach to setback on the frame in high to right a label printed collection louis the case to setback on the frame in high to left a label glued head of women  after piazetta ms imp ms of catalog given by i state imp ms ms to setback on the frame a label collection louis the case,1241,5091,4376,2673,3536,2890,2801,2808,3141,2676
20,Enfant jouant avec des colombes,"Italie ; Reni, Guido",1600.0,1700.0,https://collections.louvre.fr/media/cache/original/0000000021/0000053818/0000043096_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053818,louvre museum,child playing with doves,Italy,cloth,registration to setback on the cloth to stencil white to setback on the cloth to stencil white to setback on the cloth to stencil black i innocence a child cheek with from lovebirds to setback on the cloth to stencil black venus on the waters to setback on the frame to the chalk black window b to setback on the frame to the chalk black mo landry b,4677,5133,4205,3948,4924,3817,5768,2893,999,1689
21,Repos de l'Amour,"Italie ; Schedone, Bartolomeo",1600.0,1700.0,https://collections.louvre.fr/media/cache/large/0000000021/0000053855/0001087791_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053855,louvre museum,Love's Rest,Italy,cloth,registration to setback on the cloth to stencil red b to setback on the frame to felt black langres to setback on the frame to felt black museum of langres to setback on the frame to felt black bartolomeo schedone the rest of i love to setback on the frame a label handwritten schedone b x i love thoughtful  pt,3817,5280,46,3852,3098,999,5068,5146,2568,2650
22,L'Union du Dessin et de la Couleur,"Italie ; Reni, Guido",1600.0,1700.0,https://collections.louvre.fr/media/cache/original/0000000021/0000053814/0000041280_OG.JPG,https://collections.louvre.fr/ark:/53355/cl010053814,louvre museum,The Union of Drawing and Color,Italy,cloth,registration setback cloth stencil white,1281,48,116,103,5923,3444,6159,17,1380,3821
